"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,"Link clicks",Navigation,"Sticker taps",Follows
18320630338239061,17841401475580469,nicki.entenmann,"Nicki Entenmann","Follow for more chic fashion",0,"09/19/2025 16:43",https://instagram.com/stories/nicki.entenmann/3725426071773720647,"IG story",,Lifetime,13749,11523,112,0,2,0,1,13090,,
18044708234658450,17841401475580469,nicki.entenmann,"Nicki Entenmann","If you’ve been on the fence with 
New Balance 100/10 recommend these one
(Run big so I sized down 1/2 size)",0,"09/19/2025 14:26",https://instagram.com/stories/nicki.entenmann/3725356985975228229,"IG story",,Lifetime,18016,14057,124,0,16,0,794,15749,,
18097879060642145,17841401475580469,nicki.entenmann,"Nicki Entenmann","These, leggings with the stirrups, and jellies 💅🏼",15,"09/19/2025 12:52",https://instagram.com/stories/nicki.entenmann/3725309663463485272,"IG story",,Lifetime,13983,11882,179,0,4,0,,13549,,
18203364655310331,17841401475580469,nicki.entenmann,"Nicki Entenmann","Trendy on a budget 🙌🏻",0,"09/19/2025 12:48",https://instagram.com/stories/nicki.entenmann/3725307606711070487,"IG story",,Lifetime,13935,12050,32,0,2,0,185,13307,,
17916657150050113,17841401475580469,nicki.entenmann,"Nicki Entenmann","Trendy on a budget!!",0,"09/19/2025 12:47",https://instagram.com/stories/nicki.entenmann/3725307361218431509,"IG story",,Lifetime,14202,11985,33,0,3,0,91,13717,,
17951195456889118,17841401475580469,nicki.entenmann,"Nicki Entenmann","I need this one!  A bunch are under $10",0,"09/19/2025 12:47",https://instagram.com/stories/nicki.entenmann/3725307019382624376,"IG story",,Lifetime,15005,12320,36,0,3,0,372,14204,,
17858019255511002,17841401475580469,nicki.entenmann,"Nicki Entenmann","I thought these were a hoax 😏 
And bought them  for lacrosse season and saved me!!!! On sale for my fall & winter sports moms",0,"09/19/2025 12:45",https://instagram.com/stories/nicki.entenmann/3725306200688087427,"IG story",,Lifetime,14530,12339,30,0,1,2,156,13965,,
18092750989692608,17841401475580469,nicki.entenmann,"Nicki Entenmann","So good for cooler evening football
 games!",0,"09/19/2025 12:45",https://instagram.com/stories/nicki.entenmann/3725306190755936286,"IG story",,Lifetime,14926,12560,26,0,4,0,162,14418,,
18076848794057986,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’ve got a lot of DMs about where I started in my faith. I will do a video but I will say fellowship and community is what changed my life but these are great books to start if you are a reader!",0,"09/19/2025 12:45",https://instagram.com/stories/nicki.entenmann/3725306202516755494,"IG story",,Lifetime,16312,13044,77,0,5,0,117,15617,,
17851661370550588,17841401475580469,nicki.entenmann,"Nicki Entenmann","Yes!! I have that in link here but make sure to size down 1 in the leggings!!
I’m in size 4 25” (I’m usually a 6)",0,"09/19/2025 11:48",https://instagram.com/stories/nicki.entenmann/3725277716607568869,"IG story",,Lifetime,19583,14673,30,0,9,0,682,16975,,1
18077063981298772,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’m all about boujee on a budget, but some things are just worth investing in- and these leggings are it!!!

Buy nice or buy twice

For my gym girls who love high compressing/sculpting leggings that don’t role or pinch

Making a claim for the top legging spot this year!",0,"09/19/2025 11:43",https://instagram.com/stories/nicki.entenmann/3725274947787505634,"IG story",,Lifetime,19465,15014,61,0,6,0,1100,17115,,
18134573899451637,17841401475580469,nicki.entenmann,"Nicki Entenmann",,36,"09/19/2025 11:41",https://instagram.com/stories/nicki.entenmann/3725274153143082622,"IG story",,Lifetime,19048,15504,66,0,7,3,1328,16118,,
17853324171541294,17841401475580469,nicki.entenmann,"Nicki Entenmann","NICKI60 for $60 off Mondays round!  One of the most important message I’m gonna 
share here",59,"09/19/2025 10:10",https://instagram.com/stories/nicki.entenmann/3725228253792552956,"IG story",,Lifetime,17966,16375,67,2,17,6,287,16819,,
18023803910734685,17841401475580469,nicki.entenmann,"Nicki Entenmann","Anyone selling you on having your dream bod in 6 weeks in full of shit",51,"09/19/2025 10:07",https://instagram.com/stories/nicki.entenmann/3725227100602171916,"IG story",,Lifetime,18806,17086,78,0,7,0,,17572,,
18363236782159142,17841401475580469,nicki.entenmann,"Nicki Entenmann","LISTEN UP TO MY QUEEN WANTING TO LOSE FAT",55,"09/19/2025 10:06",https://instagram.com/stories/nicki.entenmann/3725226227809474571,"IG story",,Lifetime,20036,18201,77,0,16,0,,18470,,
17963528390967330,17841401475580469,nicki.entenmann,"Nicki Entenmann",,60,"09/19/2025 10:03",https://instagram.com/stories/nicki.entenmann/3725224632489203844,"IG story",,Lifetime,21917,19368,95,0,20,0,,19822,,
18117775252507306,17841401475580469,nicki.entenmann,"Nicki Entenmann","Last day 
to enter! 

Gifting 2 pairs 

Comment
 “sneakers” here",0,"09/19/2025 09:46",https://instagram.com/stories/nicki.entenmann/3725216000334484711,"IG story",,Lifetime,24237,20871,239,0,29,0,,22594,,
18083689111928725,17841401475580469,nicki.entenmann,"Nicki Entenmann","Tonight’s episode  The quiet hour of laundry folding I used to dread has turned into a quiet hour of laundry folding I still dread🙃 …..but with a faith based podcast or devotional to spend time with Him before bed. 🙏🏼 @ally_yost",0,"09/18/2025 19:32",https://instagram.com/stories/nicki.entenmann/3724786117888510636,"IG story",,Lifetime,23209,18887,174,0,22,0,,20152,,
18083527621910054,17841401475580469,nicki.entenmann,"Nicki Entenmann","16 mo apart 🙌🏻 Show up messy. 
Show up tired. 
Just show up.  NICKI60 for $60 off",0,"09/18/2025 17:04",https://instagram.com/stories/nicki.entenmann/3724711625044593965,"IG story",,Lifetime,19149,16478,131,0,17,0,117,16996,,
17976030461923510,17841401475580469,nicki.entenmann,"Nicki Entenmann","Said it before and I’ll say it again. 
One year to change the next 50 🙌🏻",16,"09/18/2025 17:01",https://instagram.com/stories/nicki.entenmann/3724710109869084371,"IG story",,Lifetime,19591,16873,143,0,19,0,,17407,,
18044433932364147,17841401475580469,nicki.entenmann,"Nicki Entenmann","My kids really know how to bring out my best qualities 
#blessed",15,"09/18/2025 16:01",https://instagram.com/stories/nicki.entenmann/3724679907877149678,"IG story",,Lifetime,15563,13237,58,0,11,0,,13987,,
18021172445566822,17841401475580469,nicki.entenmann,"Nicki Entenmann","I just bought these! 
Love layering and this is perfect and budget friendly",0,"09/18/2025 13:06",https://instagram.com/stories/nicki.entenmann/3724591903552987122,"IG story",,Lifetime,13849,11690,19,0,7,0,165,13253,,
17981256020889738,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"09/18/2025 13:06",https://instagram.com/stories/nicki.entenmann/3724591897932608059,"IG story",,Lifetime,12899,11145,15,0,4,0,33,12510,,
18059785487109837,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"09/18/2025 13:06",https://instagram.com/stories/nicki.entenmann/3724591910473621633,"IG story",,Lifetime,12790,11326,15,0,2,0,81,12383,,
18311607226173258,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"09/18/2025 13:06",https://instagram.com/stories/nicki.entenmann/3724591890911367754,"IG story",,Lifetime,13015,11464,17,0,2,0,35,12555,,
18086351353868868,17841401475580469,nicki.entenmann,"Nicki Entenmann","Most recent order 
(Try on on reels!)",0,"09/18/2025 13:06",https://instagram.com/stories/nicki.entenmann/3724591903720789594,"IG story",,Lifetime,14633,12485,22,0,17,0,165,13697,,
18355607149086955,17841401475580469,nicki.entenmann,"Nicki Entenmann","Ok this set is old 
but it is on major sale 
in other colors 

 I linked a bunch 
of richhhh, yummy brown
 fall sets here!",0,"09/18/2025 11:00",https://instagram.com/stories/nicki.entenmann/3724528617754532260,"IG story",,Lifetime,17490,14151,49,0,9,4,1199,15263,,
18104497900594921,17841401475580469,nicki.entenmann,"Nicki Entenmann","contains all 9 EAAs (BCAAs only have 3)
easy for your body to digest and absorb
contains up to 8x more EAAs than whole food protein

I take right after or during my workit!  EAAS is the only 
way you can build NEW muscle!  @kion #kionpartner",0,"09/18/2025 10:58",https://instagram.com/stories/nicki.entenmann/3724527795209633350,"IG story",,Lifetime,15755,14504,22,0,4,3,57,15122,,
18051326897280124,17841401475580469,nicki.entenmann,"Nicki Entenmann","Use my link to save 20%  @kion #kionpartner",57,"09/18/2025 10:55",https://instagram.com/stories/nicki.entenmann/3724526298136657022,"IG story",,Lifetime,16254,14925,24,1,6,2,42,15447,2,1
18056641277182192,17841401475580469,nicki.entenmann,"Nicki Entenmann","5-5-5 Rule 
So it’s a commitment",40,"09/18/2025 10:53",https://instagram.com/stories/nicki.entenmann/3724525352463727104,"IG story",,Lifetime,17437,15532,36,0,4,3,,14636,,
18053267765233966,17841401475580469,nicki.entenmann,"Nicki Entenmann","Code: HAIRREFRESH
$40 off 🙌🏻 1.25” is what I use! It’s a 1000/10 for me",59,"09/18/2025 09:19",https://instagram.com/stories/nicki.entenmann/3724478325264859072,"IG story",,Lifetime,19880,16238,46,0,9,3,343,17627,,
18065153222354787,17841401475580469,nicki.entenmann,"Nicki Entenmann","When Ty asks me
 what I’m doing",0,"09/18/2025 08:32",https://instagram.com/stories/nicki.entenmann/3724454218687141646,"IG story",,Lifetime,20283,16582,128,3,3,103,,18413,,
18095875645589748,17841401475580469,nicki.entenmann,"Nicki Entenmann","Hiding the evidence that I wear undies because that would be embarrassing",0,"09/18/2025 08:26",https://instagram.com/stories/nicki.entenmann/3724451236335674860,"IG story",,Lifetime,20098,16747,149,0,7,70,,18163,,
17853508902539545,17841401475580469,nicki.entenmann,"Nicki Entenmann","The rock paper scissors took me out 💀",60,"09/18/2025 07:50",https://instagram.com/stories/nicki.entenmann/3724433500771462930,"IG story",,Lifetime,21247,16906,213,27,10,101,,17758,,
18018487856590749,17841401475580469,nicki.entenmann,"Nicki Entenmann",,25,"09/18/2025 07:48",https://instagram.com/stories/nicki.entenmann/3724431991920970427,"IG story",,Lifetime,20881,17853,110,1,25,11,,15372,,
18019549646774963,17841401475580469,nicki.entenmann,"Nicki Entenmann","Dinner: 
sports mom edition  @gardencuplife 
@drinklmnt",0,"09/17/2025 17:39",https://instagram.com/stories/nicki.entenmann/3724004633145563765,"IG story",,Lifetime,18340,15627,83,0,28,14,,16858,,
18119037925506139,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment
 “sneakers” here 
to enter! 
2 winners this week!  Vvvvv into the fall sneaks!",0,"09/17/2025 12:51",https://instagram.com/stories/nicki.entenmann/3723859494968456821,"IG story",,Lifetime,16191,14176,161,4,29,1482,,15079,,
18391960081193097,17841401475580469,nicki.entenmann,"Nicki Entenmann",,46,"09/17/2025 12:33",https://instagram.com/stories/nicki.entenmann/3723850695931052100,"IG story",,Lifetime,15367,13890,95,2,8,35,,13534,,
18138872713432860,17841401475580469,nicki.entenmann,"Nicki Entenmann",,59,"09/17/2025 12:18",https://instagram.com/stories/nicki.entenmann/3723843413134477562,"IG story",,Lifetime,16530,14224,49,1,10,8,,14332,,
17856134340519561,17841401475580469,nicki.entenmann,"Nicki Entenmann","Sets on sale ❤️ Enhances natural beauty 
and so easy go use  @merit #meritpartner",35,"09/17/2025 10:08",https://instagram.com/stories/nicki.entenmann/3723777643335433201,"IG story",,Lifetime,12746,11107,26,0,16,7,189,11515,,
17860528899496054,17841401475580469,nicki.entenmann,"Nicki Entenmann","@merit #meritpartner",38,"09/17/2025 10:05",https://instagram.com/stories/nicki.entenmann/3723776833348191719,"IG story",,Lifetime,12362,11139,17,2,1,4,149,11662,,
18044118032342011,17841401475580469,nicki.entenmann,"Nicki Entenmann","I use for cleaning my makeup brushes too!  @merit #meritpartner",53,"09/17/2025 10:03",https://instagram.com/stories/nicki.entenmann/3723775549748580906,"IG story",,Lifetime,12551,11330,18,1,5,1,90,11642,,
17882715024383330,17841401475580469,nicki.entenmann,"Nicki Entenmann",,47,"09/17/2025 10:00",https://instagram.com/stories/nicki.entenmann/3723773980491685269,"IG story",,Lifetime,13500,11627,42,0,6,5,,11108,,
18079973516308716,17841401475580469,nicki.entenmann,"Nicki Entenmann","I said I was saved, not soft. Don’t temp me 😏",8,"09/17/2025 09:22",https://instagram.com/stories/nicki.entenmann/3723754421453869878,"IG story",,Lifetime,13676,11385,278,7,6,73,,11264,,
18064943510036849,17841401475580469,nicki.entenmann,"Nicki Entenmann","Oops forgot this link!
Vest is 16 lbs",7,"09/17/2025 09:19",https://instagram.com/stories/nicki.entenmann/3723753229499825536,"IG story",,Lifetime,13712,11602,61,1,4,9,238,10236,,
17948007708034697,17841401475580469,nicki.entenmann,"Nicki Entenmann",,15,"09/17/2025 09:16",https://instagram.com/stories/nicki.entenmann/3723751691842777282,"IG story",,Lifetime,13716,11344,158,3,5,17,,12765,,
